model,threshold,accuracy,precision,recall,f1_score,roc_auc
hist_gradient_boosting_big,0.05,0.20248939372215627,0.06715483873303779,0.9951352124767492,0.12581901644534144,0.8406921717722502
hist_gradient_boosting_big,0.1,0.3259069618235887,0.07787037521032206,0.9858348833881815,0.1443394805925984,0.8406921717722502
hist_gradient_boosting_big,0.15,0.409628736437219,0.08709417959636631,0.9741379310344828,0.15989290762548786,0.8406921717722502
hist_gradient_boosting_big,0.2,0.47592145423338245,0.09583687887477028,0.9588281585348405,0.1742564602632862,0.8406921717722502
hist_gradient_boosting_big,0.25,0.5282983641627977,0.10381742378181187,0.9406030905708971,0.18699554120650544,0.8406921717722502
hist_gradient_boosting_big,0.3,0.5741923704940726,0.11208618736970703,0.9221991701244814,0.19987866641598812,0.8406921717722502
hist_gradient_boosting_big,0.35,0.6155663953508762,0.12051558494453629,0.8996637573329518,0.2125577326949812,0.8406921717722502
hist_gradient_boosting_big,0.4,0.6514714695509829,0.1287969142872188,0.874928459007011,0.2245396773667916,0.8406921717722502
hist_gradient_boosting_big,0.45,0.6872156315854078,0.1381972767222362,0.8448097009586493,0.23753727627946272,0.8406921717722502
hist_gradient_boosting_big,0.5,0.7239015423843675,0.14951869604364176,0.8078587780798397,0.25233514334875196,0.8406921717722502
hist_gradient_boosting_big,0.55,0.7594259974233424,0.1623569018439954,0.7624839032765774,0.2677099097628213,0.8406921717722502
hist_gradient_boosting_big,0.6,0.7929947507563387,0.17700524737631185,0.7094899127199885,0.28332571493871955,0.8406921717722502
hist_gradient_boosting_big,0.65,0.82644694591804,0.1952385344495505,0.6436006581771355,0.29959413050265377,0.8406921717722502
hist_gradient_boosting_big,0.7,0.8583343734173102,0.2180533915030643,0.5631706968092717,0.31438170499757884,0.8406921717722502
hist_gradient_boosting_big,0.75,0.8879710935735188,0.24794566413163055,0.46356774932036054,0.3230848816119965,0.8406921717722502
hist_gradient_boosting_big,0.8,0.9133683970569577,0.28940696400978144,0.34502432393761623,0.3147777986277117,0.8406921717722502
hist_gradient_boosting_big,0.85,0.9313719928249677,0.3477625204254221,0.21696594648733725,0.26721735778401895,0.8406921717722502
hist_gradient_boosting_big,0.9,0.9409421407300668,0.4409462668191012,0.0896766347116898,0.149042105732503,0.8406921717722502
hist_gradient_boosting_big,0.95,0.9424316097508646,0.6823104693140795,0.003380311918729432,0.006727295378098916,0.8406921717722502
