model,threshold,accuracy,precision,recall,f1_score,roc_auc
balanced_logistic_regression,0.5,0.7418574209941591,0.15571840826245442,0.7688413948256468,0.25898326491948215,0.8294191562085449
balanced_logistic_regression_threshold_tuned,0.75,0.8907062951678015,0.24929178470254956,0.4289463817022872,0.3153252480705623,0.8294191562085449
balanced_random_forest,0.5,0.7515152181804182,0.15881050300537805,0.7529058867641545,0.26229508196721313,0.8295044700181844
balanced_random_forest_threshold_tuned,0.7,0.8972951568017071,0.2574821277111353,0.39838770153730785,0.3127989990432031,0.8295044700181844
